Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
D4,SOT-23_N,101.219mm,-10.899mm,101.219mm,-10.899mm,100.269mm,-9.774mm,B,270,BAS40-04LT1G
D5,SOT-23_N,91.44mm,-11.534mm,91.44mm,-11.534mm,90.49mm,-10.409mm,B,270,BAS40-04LT1G
D6,SOT-23_N,96.266mm,-22.202mm,96.266mm,-22.202mm,95.316mm,-21.077mm,B,270,BAS40-05LT1G
D7,SOT-23_N,100.203mm,-22.202mm,100.203mm,-22.202mm,99.253mm,-21.077mm,B,270,BAS40-04LT1G
D8,SOT-23_N,89.662mm,-22.456mm,89.662mm,-22.456mm,88.537mm,-23.406mm,B,360,BAS40-04LT1G
D9,SOT-23_N,72.517mm,-36.703mm,72.517mm,-36.703mm,71.392mm,-37.653mm,B,360,BAS40-05LT1G
D10,SOT-23_N,77.851mm,-36.726mm,77.851mm,-36.726mm,78.976mm,-35.776mm,B,180,BAS40-06LT1G
D11,MBS-1,65.278mm,-66.548mm,65.278mm,-66.548mm,62.028mm,-67.8234mm,B,360,MB8S
D12,DO-214AC,99.568mm,-60.198mm,99.568mm,-60.198mm,97.518mm,-60.198mm,B,360,BYG24D
D13,DO-214AC,76.454mm,-52.07mm,76.454mm,-52.07mm,78.504mm,-52.07mm,B,180,US1M
D14,DO-214AC,99.568mm,-56.134mm,99.568mm,-56.134mm,97.518mm,-56.134mm,B,360,BYG24D
D15,DO-214AC,79.502mm,-65.024mm,79.502mm,-65.024mm,81.552mm,-65.024mm,B,180,BYG24D
D16,DO-214AC,99.568mm,-49.53mm,99.568mm,-49.53mm,101.618mm,-49.53mm,B,180,BYG24D
D17,SOD-123,99.568mm,-52.832mm,99.568mm,-52.832mm,101.268mm,-52.832mm,B,180,MMSZ5243BT1G
D18,SOT-23_N,53.594mm,-35.306mm,53.594mm,-35.306mm,52.469mm,-36.256mm,B,360,BAS40-04LT1G
D19,SOT-23_N,57.912mm,-34.036mm,57.912mm,-34.036mm,56.787mm,-34.986mm,B,360,BAS40-04LT1G
F1,1206-F,115.57mm,-56.642mm,115.57mm,-56.642mm,115.57mm,-54.9275mm,B,270,SMD1206P050TF
G1,1812,5.842mm,-41.91mm,5.842mm,-41.91mm,5.842mm,-39.71mm,B,270,SPA600F
H1,DL-CT03C,39.116mm,-38.989mm,39.116mm,-38.989mm,39.116mm,-32.989mm,T,270,DL-CT03C2.0
